"Index" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "DWDP" "XOM" "GE" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "WMT"
1996-02-29 15.312176 8.810369 0.662314 25.385164 6.94561 9.885437 4.293736 8.424627 16.113756 8.595077 8.606591 5.319731 6.381771 19.895535 4.755103 12.903825 10.911485 15.08772 14.497798 4.512783 0.892623 4.987622 9.783887 14.551687 6.495972 6.937514 9.276258 7.257854
1996-03-29 15.194614 9.482555 0.591567 27.10619 7.075677 9.974298 4.192043 8.740867 15.713984 9.564322 8.823109 5.6915 7.078485 18.049988 4.598454 12.731317 10.740093 14.48421 13.7583 4.7157 1.155687 5.091727 10.111996 14.487237 6.790899 6.551357 8.680051 7.890969
1996-04-30 15.459131 9.45968 0.587051 25.698078 6.813258 10.307511 4.689212 8.608829 15.333427 9.770446 9.202015 5.645823 7.022896 17.482105 5.503147 12.765821 10.759233 14.446495 13.371519 5.178698 1.244586 5.214763 10.274724 13.867284 6.685027 6.256519 9.360173 8.191168
1996-05-31 16.265345 8.923307 0.629198 26.859934 6.972633 10.800804 4.949096 9.717939 15.024287 9.193289 9.535266 6.047793 7.578796 17.55195 6.132657 13.658898 10.915171 14.566639 14.283215 5.4302 1.427718 5.510202 10.685112 13.802033 6.893535 5.86883 8.982171 8.877337
1996-06-28 16.444084 8.703881 0.505767 27.450689 7.198414 10.665226 5.118585 10.407075 15.549823 8.594895 9.774357 6.340129 8.044385 16.277693 5.965127 13.886835 11.012624 14.150449 14.431622 5.493076 1.497623 5.558878 11.019498 14.198722 7.248061 5.40093 9.180169 8.741434
1996-07-31 16.094349 8.681161 0.529851 27.883896 7.173768 10.461874 4.677911 9.955748 13.837404 8.396989 9.253988 6.208872 7.504363 17.675268 6.136147 13.39589 11.098481 14.036943 14.347879 5.390188 1.499444 5.585423 11.088506 13.734276 7.090494 3.609531 8.740812 8.267756
1996-08-30 17.269936 8.681161 0.58404 28.692102 7.500464 10.843246 4.768307 10.619468 14.179455 9.018982 9.534243 6.274926 7.914038 19.048941 6.519019 13.916242 11.876966 14.081411 14.654932 5.60168 1.574144 5.675348 11.041918 13.734276 7.386638 4.130906 8.315781 9.121902
1996-09-30 17.521137 9.17723 0.534367 29.96026 8.208312 11.533899 5.610106 10.857133 15.734215 9.594851 9.738967 7.083138 8.557858 20.735241 7.795253 14.481374 12.795197 14.385052 15.911132 6.030382 1.815031 6.324816 12.113497 15.210742 7.886175 4.451756 8.851686 9.121902
1996-10-31 19.185337 9.480373 0.553935 30.237656 7.636702 12.10944 5.593156 10.777102 16.473936 9.295952 10.367761 7.5307 8.256921 21.484716 9.009303 13.916242 14.083985 13.512078 16.702427 6.276167 1.762853 6.614579 12.531814 14.902409 8.434853 4.037327 9.385153 9.165132
1996-11-29 21.29122 10.539347 0.58103 31.699308 8.805158 12.544551 6.135522 10.963837 18.474564 10.013322 11.872558 8.095015 7.843132 26.832012 10.40323 15.159732 15.521132 14.240729 18.76552 7.173582 1.695768 7.317285 13.765996 16.135717 9.502254 4.612179 9.794051 8.81928
1996-12-31 21.100559 11.551886 0.502757 33.972095 8.373941 12.170086 5.751346 11.285516 17.442993 9.644049 12.328588 7.936005 7.580813 25.506191 10.736343 14.163314 14.679375 13.821877 18.18259 7.556556 1.815906 6.776392 13.623594 16.308907 8.977179 4.812708 10.086117 7.902194
1997-01-31 21.672556 12.701963 0.400399 34.171459 8.820335 12.427526 6.305013 12.411385 18.313543 9.49024 13.036229 8.307225 7.486288 26.411127 13.339457 16.440836 15.483744 13.859955 20.694477 9.328512 2.069376 7.552008 14.875334 17.386898 9.451441 5.213765 10.738557 8.249545
1997-02-28 23.681736 13.417559 0.391367 32.627453 8.891351 12.270274 5.028191 13.081543 18.659082 9.967057 13.011313 8.25706 8.261385 24.431368 11.664314 16.420918 16.760107 13.216417 21.037012 8.916961 2.175305 7.652211 15.45426 18.777857 10.364161 5.347454 11.037966 9.161338
1997-03-31 21.783335 12.241927 0.439536 31.625387 9.118611 13.245251 4.350233 12.009912 18.313543 10.102061 13.984729 8.214113 8.129909 23.326645 11.438222 15.100104 15.713912 14.438746 19.417484 8.385373 1.895764 7.025836 14.762762 18.296406 10.433028 5.09345 9.700638 9.728108
1997-04-30 22.394684 13.615967 0.409431 31.625387 10.307735 13.031228 4.677911 13.706383 20.656624 10.702813 14.698567 9.186565 8.813733 27.278147 12.62401 17.456146 15.726931 16.348627 20.829126 11.111906 1.723421 8.017599 16.420443 18.895716 10.415812 5.227088 11.116475 9.815356
1997-05-30 23.92597 14.392532 0.400399 33.979431 11.306661 13.538156 6.124223 14.756573 20.688208 10.544718 15.600513 9.993494 9.592536 29.689655 12.490047 17.257835 16.13237 15.405887 20.713902 11.340547 1.76172 8.782844 18.003729 20.200081 11.251215 6.073637 11.485658 10.426091
1997-06-30 26.627827 15.427974 0.343199 34.221275 12.435877 14.299684 6.067728 14.709098 20.277605 11.319088 16.127115 10.759038 10.539821 30.976751 11.691382 18.516224 16.569822 14.811885 23.804464 11.557754 1.813007 10.189804 18.444431 21.767199 11.618675 5.589898 12.449636 11.848237
1997-07-31 24.674698 17.524929 0.421473 37.84898 13.086958 15.278776 7.192008 14.952439 20.525799 12.377707 16.917009 11.745162 11.413372 36.296871 15.159155 17.869051 19.765404 16.478939 24.168005 12.929591 1.945002 10.257779 20.131145 22.391666 11.837405 6.127387 12.18196 13.14037
1997-08-29 23.675163 16.269413 0.52383 35.235359 13.568957 15.2051 6.813482 12.397284 19.50983 11.530811 16.326588 10.478527 10.811916 34.924736 15.210746 16.427574 19.352053 14.554868 21.361498 12.089341 1.657719 9.537368 17.616814 20.946468 11.09581 5.227088 12.150475 12.439554
1997-09-30 24.350195 17.132576 0.522325 35.194969 12.604967 16.30958 6.604446 13.259348 20.478172 12.164971 17.093719 11.534305 11.979059 36.518101 15.241714 16.717365 20.537741 14.651009 23.47266 12.100775 1.671481 10.343798 18.278482 23.561041 11.513342 5.3749 13.504028 12.879285
1997-10-31 24.103241 16.476917 0.410182 31.032978 12.077554 16.285036 7.415165 12.308376 21.020758 12.156588 16.393295 10.951759 12.812131 33.934269 12.731437 16.626804 20.409292 13.785789 20.962446 11.88928 1.4862 12.214711 18.1227 23.091625 9.949802 4.9785 13.707958 12.30785
1997-11-28 25.959652 16.661753 0.427494 34.450695 11.296934 15.966372 7.796521 13.644982 24.226505 13.246488 16.497421 12.519324 12.883952 37.871315 12.834777 18.373653 19.226954 14.97015 22.2726 12.941026 1.535476 12.605272 20.304754 23.109673 10.833933 5.596614 15.292946 14.088092
1997-12-31 21.863398 19.022491 0.316104 31.735176 11.429488 15.331706 7.559235 14.559194 25.263187 13.984052 16.54813 12.594667 13.565155 36.185276 11.615373 19.231209 19.359554 14.738647 25.134375 11.820689 1.259771 12.919323 21.270847 23.982941 10.526716 5.341307 15.59281 13.914473
